user_id	username	timestamp	The Lord of the Rings 	The Dark Knight 	The Shawshank	The Godfather: Part II	The Godfather	positive	negative
23	 user1	 2024-03-23 09:00:00	1	0	0	0	0	1	0
24	 user2	 2024-03-23 09:30:00	0	1	0	0	0	0	1
25	 user3	 2024-03-23 10:00:00	0	0	1	0	0	1	0
26	 user4	 2024-03-23 10:30:00	0	0	0	1	0	0	1
27	 user5	 2024-03-23 11:00:00	1	0	0	0	0	1	0
28	 user6	 2024-03-23 11:30:00	0	1	0	0	0	0	1
29	 user7	 2024-03-23 12:00:00	0	0	1	0	0	1	0
30	 user8	 2024-03-23 12:30:00	0	0	0	1	0	0	1
31	 user9	 2024-03-23 13:00:00	1	0	0	0	0	1	0
32	 user10	 2024-03-23 13:30:00	0	1	0	0	0	0	1
33	 user11	 2024-03-23 14:00:00	0	0	1	0	0	1	0
34	 user12	 2024-03-23 14:30:00	0	0	0	1	0	0	1
35	 user13	 2024-03-23 15:00:00	1	0	0	0	0	1	0
36	 user14	 2024-03-23 15:30:00	0	1	0	0	0	0	1
37	 user15	 2024-03-23 16:00:00	0	0	1	0	0	1	0
38	 user16	 2024-03-23 16:30:00	0	0	0	1	0	0	1
39	 user17	 2024-03-23 17:00:00	1	0	0	0	0	1	0
40	 user18	 2024-03-23 17:30:00	0	1	0	0	0	0	1
41	 user19	 2024-03-23 18:00:00	0	0	1	0	0	1	0
42	 user20	 2024-03-23 18:30:00	0	0	0	1	0	0	1
70	 emily	 2024-03-24 10:00:00	1	0	0	0	0	1	0
77	 oliver	 2024-03-24 13:30:00	0	1	0	0	0	0	1
68	 sophie	 2024-03-24 11:00:00	0	0	1	0	0	1	0
69	 mark	 2024-03-24 11:30:00	0	0	0	1	0	0	1
71	 jackson	 2024-03-24 12:00:00	1	0	0	0	0	1	0
74	 mia	 2024-03-24 12:30:00	0	1	0	0	0	0	1
75	 lucas	 2024-03-24 13:00:00	0	0	1	0	0	1	0
76	 harper	 2024-03-24 13:30:00	0	0	0	1	0	0	1
77	 oliver	 2024-03-24 14:00:00	1	0	0	0	0	1	0
78	 amelia	 2024-03-24 14:30:00	0	1	0	0	0	0	1
79	 ethan	 2024-03-24 15:00:00	0	0	1	0	0	1	0
80	 sophia	 2024-03-24 15:30:00	0	0	0	1	0	0	1
81	 jacob	 2024-03-24 16:00:00	1	0	0	0	0	1	0
82	 isabella	 2024-03-24 16:30:00	0	1	0	0	0	0	1
83	 william	 2024-03-24 17:00:00	0	0	1	0	0	1	0
84	 ava	 2024-03-24 17:30:00	0	0	0	1	0	0	1
85	 michael	 2024-03-24 18:00:00	1	0	0	0	0	1	0
86	 emma	 2024-03-24 18:30:00	0	1	0	0	0	0	1
87	 benjamin	 2024-03-24 19:00:00	0	0	1	0	0	1	0
68	 sophie	 2024-03-25 09:00:00	1	0	0	0	0	1	0
69	 mark	 2024-03-25 09:30:00	0	1	0	0	0	0	1
70	 emily	 2024-03-25 10:00:00	0	0	1	0	0	1	0
71	 jackson	 2024-03-25 10:30:00	0	0	0	1	0	0	1
72	 ava	 2024-03-25 11:00:00	1	0	0	0	0	1	0
73	 logan	 2024-03-25 11:30:00	0	1	0	0	0	0	1
74	 mia	 2024-03-25 12:00:00	0	0	1	0	0	1	0
75	 lucas	 2024-03-25 12:30:00	0	0	0	1	0	0	1
76	 harper	 2024-03-25 13:00:00	1	0	0	0	0	1	0
77	 oliver	 2024-03-25 13:30:00	0	1	0	0	0	0	1
78	 amelia	 2024-03-25 14:00:00	0	0	1	0	0	1	0
79	 ethan	 2024-03-25 14:30:00	0	0	0	1	0	0	1
80	 sophia	 2024-03-25 15:00:00	1	0	0	0	0	1	0
81	 jacob	 2024-03-25 15:30:00	0	1	0	0	0	0	1
82	 isabella	 2024-03-25 16:00:00	0	0	1	0	0	1	0
83	 william	 2024-03-25 16:30:00	0	0	0	1	0	0	1
84	 ava	 2024-03-25 17:00:00	1	0	0	0	0	1	0
85	 michael	 2024-03-25 17:30:00	0	1	0	0	0	0	1
86	 emma	 2024-03-25 18:00:00	0	0	1	0	0	1	0
87	 benjamin	 2024-03-25 18:30:00	0	0	0	1	0	0	1
1	 admin	 2024-03-26 09:15:12	1	0	0	0	0	1	0
27	 user2000	 2024-03-26 09:54:21	0	1	0	0	0	0	1
34	 user8000	 2024-03-26 09:56:10	0	0	1	0	0	1	0
45	 monic	 2024-03-26 10:56:10	0	0	0	1	0	0	1
46	 memi	 2024-03-26 11:30:00	1	0	0	0	0	1	0
50	 newuser	 2024-03-26 12:00:00	0	1	0	0	0	0	1
55	 john	 2024-03-26 12:30:00	0	0	1	0	0	1	0
56	 sarah	 2024-03-26 13:00:00	0	0	0	1	0	0	1
57	 alex	 2024-03-26 13:30:00	1	0	0	0	0	1	0
58	 emma	 2024-03-26 14:00:00	0	1	0	0	0	0	1
59	 david	 2024-03-26 14:30:00	0	0	1	0	0	1	0
60	 lisa	 2024-03-26 15:00:00	0	0	0	1	0	0	1
61	 jason	 2024-03-26 15:30:00	1	0	0	0	0	1	0
62	 sophia	 2024-03-26 16:00:00	0	1	0	0	0	0	1
63	 william	 2024-03-26 16:30:00	0	0	1	0	0	1	0
64	 olivia	 2024-03-26 17:00:00	0	0	0	1	0	0	1
65	 ethan	 2024-03-26 17:30:00	1	0	0	0	0	1	0
66	 mia	 2024-03-26 18:00:00	0	1	0	0	0	0	1
67	 jacob	 2024-03-26 18:30:00	0	0	1	0	0	1	0
65	 ren	 2024-03-26 18:45:00	0	0	0	1	0	0	1
66	 mark	 2024-03-26 18:45:00	1	0	0	0	0	1	0
67	 jason	 2024-03-26 18:45:00	0	1	0	0	0	0	1
68	 sophie	 2024-03-26 18:45:00	0	0	1	0	0	1	0
69	 mark	 2024-03-26 18:45:00	0	0	0	1	0	0	1
70	 emily	 2024-03-26 18:45:00	1	0	0	0	0	1	0
